1502191800 14341744 10.94 Tue, 08 Aug 2017 11:30:00 GMT
1502193600 17179824 13.11 Tue, 08 Aug 2017 12:00:00 GMT
1502195400 18674160 14.25 Tue, 08 Aug 2017 12:30:00 GMT
1502229600 15284392 11.66 Tue, 08 Aug 2017 22:00:00 GMT
1502231400 16613656 12.67 Tue, 08 Aug 2017 22:30:00 GMT
1502233200 19179512 14.63 Tue, 08 Aug 2017 23:00:00 GMT
1502235000 18926112 14.44 Tue, 08 Aug 2017 23:30:00 GMT
1502236800 26224032 20.01 Wed, 09 Aug 2017 00:00:00 GMT
1502240400 22052344 16.82 Wed, 09 Aug 2017 01:00:00 GMT
1502242200 24204824 18.47 Wed, 09 Aug 2017 01:30:00 GMT
1502244000 18863848 14.39 Wed, 09 Aug 2017 02:00:00 GMT
1502245800 26857560 20.49 Wed, 09 Aug 2017 02:30:00 GMT
1502247600 26743864 20.40 Wed, 09 Aug 2017 03:00:00 GMT
1502249400 22869768 17.45 Wed, 09 Aug 2017 03:30:00 GMT
1502251200 27068216 20.65 Wed, 09 Aug 2017 04:00:00 GMT
1502253000 27017536 20.61 Wed, 09 Aug 2017 04:30:00 GMT
1502254800 26418816 20.15 Wed, 09 Aug 2017 05:00:00 GMT
1502256600 22021936 16.80 Wed, 09 Aug 2017 05:30:00 GMT
1502258400 17250776 13.16 Wed, 09 Aug 2017 06:00:00 GMT
1502260200 15875176 12.11 Wed, 09 Aug 2017 06:30:00 GMT
1502269200 20585520 15.71 Wed, 09 Aug 2017 09:00:00 GMT
1502271000 21170512 16.15 Wed, 09 Aug 2017 09:30:00 GMT
1502272800 17373160 13.25 Wed, 09 Aug 2017 10:00:00 GMT
1502274600 21633872 16.51 Wed, 09 Aug 2017 10:30:00 GMT
1502276400 19507512 14.88 Wed, 09 Aug 2017 11:00:00 GMT
1502278200 17621464 13.44 Wed, 09 Aug 2017 11:30:00 GMT
1502280000 10105592 7.71 Wed, 09 Aug 2017 12:00:00 GMT
1502281800 11434160 8.72 Wed, 09 Aug 2017 12:30:00 GMT
1502283600 17719928 13.52 Wed, 09 Aug 2017 13:00:00 GMT
1502285400 19222952 14.67 Wed, 09 Aug 2017 13:30:00 GMT
1502287200 21945944 16.74 Wed, 09 Aug 2017 14:00:00 GMT
1502310600 16999576 12.97 Wed, 09 Aug 2017 20:30:00 GMT
1502312400 17072672 13.03 Wed, 09 Aug 2017 21:00:00 GMT
1502314200 14880400 11.35 Wed, 09 Aug 2017 21:30:00 GMT
1502316000 21041640 16.05 Wed, 09 Aug 2017 22:00:00 GMT
1502317800 22966032 17.52 Wed, 09 Aug 2017 22:30:00 GMT
1502350200 19118696 14.59 Thu, 10 Aug 2017 07:30:00 GMT
1502352000 18452616 14.08 Thu, 10 Aug 2017 08:00:00 GMT
1502353800 15723136 12.00 Thu, 10 Aug 2017 08:30:00 GMT
1502355600 14031872 10.71 Thu, 10 Aug 2017 09:00:00 GMT
1502357400 22415096 17.10 Thu, 10 Aug 2017 09:30:00 GMT
1502359200 18774072 14.32 Thu, 10 Aug 2017 10:00:00 GMT
1502361000 21727992 16.58 Thu, 10 Aug 2017 10:30:00 GMT
1502362800 18048624 13.77 Thu, 10 Aug 2017 11:00:00 GMT
1502364600 18115232 13.82 Thu, 10 Aug 2017 11:30:00 GMT
1502366400 15213440 11.61 Thu, 10 Aug 2017 12:00:00 GMT
1502368200 19503864 14.88 Thu, 10 Aug 2017 12:30:00 GMT
1502370000 20652128 15.76 Thu, 10 Aug 2017 13:00:00 GMT
1502371800 23394640 17.85 Thu, 10 Aug 2017 13:30:00 GMT
1502373600 23041328 17.58 Thu, 10 Aug 2017 14:00:00 GMT
1502375400 26586784 20.28 Thu, 10 Aug 2017 14:30:00 GMT
1502388001 17258016 13.17 Thu, 10 Aug 2017 18:00:01 GMT
1502391600 21077840 16.08 Thu, 10 Aug 2017 19:00:00 GMT
1502393400 21035848 16.05 Thu, 10 Aug 2017 19:30:00 GMT
1502395200 16242968 12.39 Thu, 10 Aug 2017 20:00:00 GMT
1502397000 24122984 18.40 Thu, 10 Aug 2017 20:30:00 GMT
1502398800 26078536 19.90 Thu, 10 Aug 2017 21:00:00 GMT
1502400600 24066512 18.36 Thu, 10 Aug 2017 21:30:00 GMT
1502402400 23773320 18.14 Thu, 10 Aug 2017 22:00:00 GMT
1502404200 21513688 16.41 Thu, 10 Aug 2017 22:30:00 GMT
1502406000 19830416 15.13 Thu, 10 Aug 2017 23:00:00 GMT
1502407800 26538248 20.25 Thu, 10 Aug 2017 23:30:00 GMT
1502409600 23461248 17.90 Fri, 11 Aug 2017 00:00:00 GMT
1502411400 22320224 17.03 Fri, 11 Aug 2017 00:30:00 GMT
1502413200 20911320 15.95 Fri, 11 Aug 2017 01:00:00 GMT
1502415000 25754880 19.65 Fri, 11 Aug 2017 01:30:00 GMT
1502416800 21315312 16.26 Fri, 11 Aug 2017 02:00:00 GMT
1502418600 23241152 17.73 Fri, 11 Aug 2017 02:30:00 GMT
1502420400 26504944 20.22 Fri, 11 Aug 2017 03:00:00 GMT
1502431200 20579728 15.70 Fri, 11 Aug 2017 06:00:00 GMT
1502433000 22876256 17.45 Fri, 11 Aug 2017 06:30:00 GMT
1502434800 22614168 17.25 Fri, 11 Aug 2017 07:00:00 GMT
1502470800 22088544 16.85 Fri, 11 Aug 2017 17:00:00 GMT
1502472600 19069464 14.55 Fri, 11 Aug 2017 17:30:00 GMT
1502474400 14634240 11.16 Fri, 11 Aug 2017 18:00:00 GMT
1502478000 18910184 14.43 Fri, 11 Aug 2017 19:00:00 GMT
1502479800 17368064 13.25 Fri, 11 Aug 2017 19:30:00 GMT
1502481600 17745992 13.54 Fri, 11 Aug 2017 20:00:00 GMT
1502483400 21698336 16.55 Fri, 11 Aug 2017 20:30:00 GMT
1502485200 20812856 15.88 Fri, 11 Aug 2017 21:00:00 GMT
1502487000 18445376 14.07 Fri, 11 Aug 2017 21:30:00 GMT
1502488800 21497064 16.40 Fri, 11 Aug 2017 22:00:00 GMT
1502490600 21218296 16.19 Fri, 11 Aug 2017 22:30:00 GMT
1502492400 21745368 16.59 Fri, 11 Aug 2017 23:00:00 GMT
1502508601 20119264 15.35 Sat, 12 Aug 2017 03:30:01 GMT
1502512200 22742344 17.35 Sat, 12 Aug 2017 04:30:00 GMT
1502514000 21607808 16.49 Sat, 12 Aug 2017 05:00:00 GMT
1502515800 20342256 15.52 Sat, 12 Aug 2017 05:30:00 GMT
1502517600 20584824 15.70 Sat, 12 Aug 2017 06:00:00 GMT
1502519400 20920008 15.96 Sat, 12 Aug 2017 06:30:00 GMT
1502521200 17191408 13.12 Sat, 12 Aug 2017 07:00:00 GMT
1502523000 14010152 10.69 Sat, 12 Aug 2017 07:30:00 GMT
1502524800 15181584 11.58 Sat, 12 Aug 2017 08:00:00 GMT
1502526600 21038048 16.05 Sat, 12 Aug 2017 08:30:00 GMT
1502528400 19421328 14.82 Sat, 12 Aug 2017 09:00:00 GMT
1502530200 18383808 14.03 Sat, 12 Aug 2017 09:30:00 GMT
1502532000 15617432 11.91 Sat, 12 Aug 2017 10:00:00 GMT
1502533800 19328656 14.75 Sat, 12 Aug 2017 10:30:00 GMT
1502535600 18936248 14.45 Sat, 12 Aug 2017 11:00:00 GMT
1502537400 19839104 15.14 Sat, 12 Aug 2017 11:30:00 GMT
1502539200 19830416 15.13 Sat, 12 Aug 2017 12:00:00 GMT
1502541000 18342568 13.99 Sat, 12 Aug 2017 12:30:00 GMT
1502542800 21438392 16.36 Sat, 12 Aug 2017 13:00:00 GMT
1502544600 20924352 15.96 Sat, 12 Aug 2017 13:30:00 GMT
1502546401 19144760 14.61 Sat, 12 Aug 2017 14:00:01 GMT
1502551800 20593512 15.71 Sat, 12 Aug 2017 15:30:00 GMT
1502591400 19502416 14.88 Sun, 13 Aug 2017 02:30:00 GMT
1502593200 19574816 14.93 Sun, 13 Aug 2017 03:00:00 GMT
1502595000 21241464 16.21 Sun, 13 Aug 2017 03:30:00 GMT
1502596800 27060280 20.64 Sun, 13 Aug 2017 04:00:00 GMT
1502598600 23197712 17.70 Sun, 13 Aug 2017 04:30:00 GMT
1502600400 19083248 14.56 Sun, 13 Aug 2017 05:00:00 GMT
1502602200 23966600 18.28 Sun, 13 Aug 2017 05:30:00 GMT
1502604000 22147912 16.90 Sun, 13 Aug 2017 06:00:00 GMT
1502605800 20492152 15.63 Sun, 13 Aug 2017 06:30:00 GMT
1502607600 21995872 16.78 Sun, 13 Aug 2017 07:00:00 GMT
1502609400 17039368 13.00 Sun, 13 Aug 2017 07:30:00 GMT
1502632800 14790624 11.28 Sun, 13 Aug 2017 14:00:00 GMT
1502634600 17617120 13.44 Sun, 13 Aug 2017 14:30:00 GMT
1502636400 18905840 14.42 Sun, 13 Aug 2017 15:00:00 GMT
1502638200 14813792 11.30 Sun, 13 Aug 2017 15:30:00 GMT
1502640000 15808568 12.06 Sun, 13 Aug 2017 16:00:00 GMT
1502641800 14360568 10.96 Sun, 13 Aug 2017 16:30:00 GMT
1502643600 20758584 15.84 Sun, 13 Aug 2017 17:00:00 GMT
1502645400 23176744 17.68 Sun, 13 Aug 2017 17:30:00 GMT
1502647200 20807064 15.87 Sun, 13 Aug 2017 18:00:00 GMT
1502649000 17189960 13.11 Sun, 13 Aug 2017 18:30:00 GMT
1502650800 11412440 8.71 Sun, 13 Aug 2017 19:00:00 GMT
1502652600 18616240 14.20 Sun, 13 Aug 2017 19:30:00 GMT
1502654400 17031432 12.99 Sun, 13 Aug 2017 20:00:00 GMT
1502656200 14472064 11.04 Sun, 13 Aug 2017 20:30:00 GMT
1502658000 18050072 13.77 Sun, 13 Aug 2017 21:00:00 GMT
1502659800 18223832 13.90 Sun, 13 Aug 2017 21:30:00 GMT
1502661600 18138400 13.84 Sun, 13 Aug 2017 22:00:00 GMT
1502663400 20964896 15.99 Sun, 13 Aug 2017 22:30:00 GMT
1502665200 17993600 13.73 Sun, 13 Aug 2017 23:00:00 GMT
1502667001 23393192 17.85 Sun, 13 Aug 2017 23:30:01 GMT
1502672400 24100568 18.39 Mon, 14 Aug 2017 01:00:00 GMT
1502674200 27163784 20.72 Mon, 14 Aug 2017 01:30:00 GMT
1502676000 19247568 14.68 Mon, 14 Aug 2017 02:00:00 GMT
1502677800 27090688 20.67 Mon, 14 Aug 2017 02:30:00 GMT
1502712000 22165288 16.91 Mon, 14 Aug 2017 12:00:00 GMT
1502713800 18025456 13.75 Mon, 14 Aug 2017 12:30:00 GMT
1502715600 19089736 14.56 Mon, 14 Aug 2017 13:00:00 GMT
1502717400 17599744 13.43 Mon, 14 Aug 2017 13:30:00 GMT
1502719200 17670696 13.48 Mon, 14 Aug 2017 14:00:00 GMT
1502721000 18532256 14.14 Mon, 14 Aug 2017 14:30:00 GMT
1502722800 16924976 12.91 Mon, 14 Aug 2017 15:00:00 GMT
1502726400 20155464 15.38 Mon, 14 Aug 2017 16:00:00 GMT
1502753400 17934232 13.68 Mon, 14 Aug 2017 23:30:00 GMT
1502755200 21983592 16.77 Tue, 15 Aug 2017 00:00:00 GMT
1502757000 20158360 15.38 Tue, 15 Aug 2017 00:30:00 GMT
1502758800 20172840 15.39 Tue, 15 Aug 2017 01:00:00 GMT
1502760600 24705832 18.85 Tue, 15 Aug 2017 01:30:00 GMT
1502762400 19978808 15.24 Tue, 15 Aug 2017 02:00:00 GMT
1502764200 22766208 17.37 Tue, 15 Aug 2017 02:30:00 GMT
1502766000 22200040 16.94 Tue, 15 Aug 2017 03:00:00 GMT
1502767800 21956776 16.75 Tue, 15 Aug 2017 03:30:00 GMT
1502769600 25712888 19.62 Tue, 15 Aug 2017 04:00:00 GMT
1502771400 21047432 16.06 Tue, 15 Aug 2017 04:30:00 GMT
1502773200 21530368 16.43 Tue, 15 Aug 2017 05:00:00 GMT
1502775000 21203816 16.18 Tue, 15 Aug 2017 05:30:00 GMT
1502776800 21621592 16.50 Tue, 15 Aug 2017 06:00:00 GMT
1502778600 22661256 17.29 Tue, 15 Aug 2017 06:30:00 GMT
1502780400 18976792 14.48 Tue, 15 Aug 2017 07:00:00 GMT
1502782200 18504048 14.12 Tue, 15 Aug 2017 07:30:00 GMT
1502794800 19414088 14.81 Tue, 15 Aug 2017 11:00:00 GMT
1502796600 20324880 15.51 Tue, 15 Aug 2017 11:30:00 GMT
1502798400 24970816 19.05 Tue, 15 Aug 2017 12:00:00 GMT
1502800200 24406096 18.62 Tue, 15 Aug 2017 12:30:00 GMT
1502802000 18365736 14.01 Tue, 15 Aug 2017 13:00:00 GMT
1502803800 24091880 18.38 Tue, 15 Aug 2017 13:30:00 GMT
1502805600 22517152 17.18 Tue, 15 Aug 2017 14:00:00 GMT
1502807400 11490632 8.77 Tue, 15 Aug 2017 14:30:00 GMT
1502809200 17712688 13.51 Tue, 15 Aug 2017 15:00:00 GMT
1502811000 21329096 16.27 Tue, 15 Aug 2017 15:30:00 GMT
1502812800 18457712 14.08 Tue, 15 Aug 2017 16:00:00 GMT
1502834400 21258144 16.22 Tue, 15 Aug 2017 22:00:00 GMT
1502836200 20990960 16.01 Tue, 15 Aug 2017 22:30:00 GMT
1502838000 17866176 13.63 Tue, 15 Aug 2017 23:00:00 GMT
1502839800 20827336 15.89 Tue, 15 Aug 2017 23:30:00 GMT
1502875800 18887016 14.41 Wed, 16 Aug 2017 09:30:00 GMT
1502877600 24212064 18.47 Wed, 16 Aug 2017 10:00:00 GMT
